"EDNAME,C,80",2022 Population
Ballintober,855
Baslick,147
Bellanagare,693
Buckill,353
Carrowduff,212
Castleplunket,563
Castlereagh,3268
Castleteheen,324
Cloonfower,346
Coolougher,509
Edmondstown,458
Fairymount,332
Frenchpark,1018
Kiltullagh,1185
Loughglinn,780
Annaghmore,304
Athleague East,510
Athleague West,610
Ballygarden,223
Bumlin,534
Cams,506
Cloonfinlough,176
Cloontuskert,1315
Cloonygormican,441
Cloonyquin,255
Creeve,156
Cregga,166
Drumdaff,481
Dunamon,328
Elia,137
Elphin,893
Fuerty,796
Kilbride North,418
Kilbride South,386
Kilgefin,300
Kilglass North,505
Kilglass South,354
Killavackan,229
Killukin,190
Kilteevan,553
Lackan,379
Lismaha,365
Lissonuffy,171
Mote,1009
Ogulla,399
Roosky,818
Roscommon Rural,5513
Roscommon Urban,2034
Rosmoylan,215
Rossmore,169
Scregg,556
Strokestown,1232
Termonbarry,972
Tulsk,326
Sligo East,4940
Sligo North,6127
Sligo West,7788
Aghanagh,391
Ballynashee,386
Coolavin,461
Cuilmore,555
Drumrat,540
Kilfree,541
Killadoon,276
Killaraght,456
Kilmactranny,360
Kilshalvy,298
Shancough,134
Templevanny,241
Toomour,227
Aughris,171
Buncrowey,294
Castleconor East,239
Castleconor West,1095
Dromard East,180
Dromard West,207
Dromore,527
Easky East,626
Easky West,664
Kilglass,1765
Rathmacurkey,598
Skreen,175
Templeboy North,314
Templeboy South/Mullagheruse,260
Toberpatrick East,232
Toberpatrick West,306
Ballintogher East,661
Ballintogher West,457
Ballymote,2269
Ballynakill,462
Ballysadare East,1387
Ballysadare West,361
Bricklieve,213
Calry,1792
Carney,714
Carrickbanagher,707
Cliffony North,1000
Cliffony South,577
Collooney,3188
Drumcliff East,764
Drumcliff West,1826
Drumcolumb,273
Drumfin,412
Glencar,259
Kilmacowen,2347
Knockaree,4077
Lakeview,511
Lisconny,394
Lissadill East,862
Lissadill North,1549
Lissadill West,639
Riverstown,753
Rossinver East,191
Rossinver West,243
Achonry East,468
Achonry West,810
Aclare,233
Annagh,200
Banada,610
Branchfield/Carrownaskeagh,155
Breencorragh,117
Cartron,157
Cloonoghill,307
Coolaney,1563
Glendarragh,234
Kilmacteige,226
Kilturra,226
Leitrim,381
Loughill/Cloonacool,380
Owenmore,102
Streamstown,255
Temple,394
Tobercurry,3118
Cavan Urban,3868
Bailieborough,4230
Carnagarve,627
Crossbane,677
Drumanespick,498
Enniskeen,482
Killinkere,503
Kingscourt,3705
Lisagoan,414
Mullagh,2535
Shercock,1276
Skeagh,445
Taghart,661
Termon,582
Ballyconnell,1859
Ballymagauran,236
Bawnboy,625
Bilberry,199
Carn,213
Diamond,151
Doogary,136
Kinawley,111
Lissanover,291
Pedara Vohers/Tircahan,191
Swanlinbar,381
Templeport/Benbrack,302
Ballyjamesduff,3548
Castlerahan,897
Kilbride,998
Lurgan,624
Munterconnaught,1182
Virginia,5210
Ardue,897
Arvagh,967
Ashfield,414
Ballintemple,431
Ballyhaise,1152
Ballymachugh,838
Bellananagh,1628
Belturbet Urban,1759
Bruce Hall,208
Butler's Bridge,501
Canningstown,543
Carrafin,439
Castlesaunderson,314
Cavan Rural,8747
Clonervy,919
Cootehill Rural,1138
Cootehill Urban,1705
Corr,284
Corraneary,448
Crossdoney,610
Crosskeys,707
Cuttragh,454
Denn,707
Derrin,473
Drumcarban,636
Drumcarn,518
Drung,541
Graddum,589
Grilly,512
Kilconny,643
Kill,394
Killashandra,1092
Killykeen,646
Kilnaleck,1216
Knappagh,487
Larah North,478
Larah South,507
Milltown,404
Moynehall,1739
Rakenny,440
Redhill,468
Springfield,173
Stradone,855
Tullyvin East,609
Tullyvin West,330
Waterloo,780
Derrylahan,97
Dowra,160
Dunmakeever/Derrynananta,190
Eskey,322
Killinagh/Teebane,144
Tuam,346
Drumlumman,674
Kilcogy,452
Kilgolagh,331
Loughdawan,329
Scrabby,662
Buncrana Urban,3279
Bundoran Urban,2124
Letterkenny Urban,2624
Ballintra,755
Ballyshannon Rural,1738
Ballyshannon Urban,1714
Bundoran Rural,1179
Carrickboy,389
Cavangarden,464
Cliff,249
Ballintra,772
Binbane,169
Bonnyglen,387
Clogher,928
Corkermore,339
Donegal,4179
Dunkineely,904
Eanymore,547
Grousehall,84
Haugh,235
Inver,795
Laghy,799
Lough Eask,350
Pettigoe,368
Tantallon,1745
Tawnawully,350
Templecarn,105
Tullynaught,657
Ards,805
Creenasmear,314
Creeslough,783
Cross Roads,2071
Doe Castle,278
Dunfanaghy,1015
D∑n L∑iche,689
Gort an Choirce,1693
Machaire Chlochair,2841
M›n an Chladaigh,1408
Anagaire,2274
?rainn Mhær,478
Ardara,1280
Cræ Bheithe,165
Cræ Chaorach,123
Crownarad,347
Dawros,717
An D∑choraidh,82
An Clochﬂn Liath,1919
Baile na Finne,294
Gleann Cholm Cille,732
Glengesh,694
Gleann L⁄ith›n,156
Glenties,1475
An Ghrafaidh,150
Inis Caoil,84
Cill Charthaigh,669
Cill Ghabhlaigh,365
Killybegs,2333
Largymore,523
Leitir Mhic an Bhaird,727
Maas,272
An Machaire,754
Mﬂlainn Bhig,373
Mulmosog,238
Inis Mhic an Doirn,1496
Tieveskeelta,134
Ardmalin,673
Ballyliffin,1529
Birdstown,1324
Buncrana Rural,4039
Burt,1333
Carndonagh,2519
Carthage,917
Castlecary,692
Castleforward,1345
Culdaff,1027
Desertegny,751
Dunaff,705
Fahan,1634
Glennagannon,791
Gleneely,859
Glentogher,1240
Greencastle,1140
Illies,945
Inch Island,396
Kilderry,2151
Killea,1802
Malin,770
Mintiaghs,890
Moville,2293
Newtown Cunningham,1028
Redcastle,967
Straid,1298
Three Trees,724
Turmone,316
Whitecastle,977
Ballymacool,2741
Castlewray,3681
Church Hill,400
Corravaddy,1739
Edenacarnan,1824
Gartan,203
Gortnavern,1303
Killymasny,512
Kincraigy,1036
Letterkenny Rural,12191
Magheraboy,1719
Manorcunningham,1314
Seacor,93
Templedouglas,1089
Ballyarr,735
Carrickart,965
Carrowkeel,881
Cranford,610
Fanad North,540
Fanad West,398
Glen,262
Glenalla,530
Greenfort,359
Killygarvan,120
Kilmacrenan,1525
Knockalla,286
Loughkeel,331
Millford,1633
Rathmelton,2494
Rathmullan,965
Ros Goill,856
Rosnakill,264
Termon,568
Altnapaste,416
Castlefinn,1252
Cloghan,935
Cloghard,621
Clonleigh North,1429
Clonleigh South,2156
Convoy,2559
Dooish,1170
Feddyglass,456
Figart,1131
Gleneely,1672
Goland,359
Killygordon,1146
Knock,1922
Lettermore,368
Meencargagh,148
Raphoe,1521
St. Johnstown,1396
Stranorlar,4706
Treantaghmucklagh,860
Urney West,640
Carrickmacross Urban,2331
Castleblayney Urban,1014
Clones Urban,1127
Monaghan Urban,2285
Ballymackney,1001
Bocks,779
Carrickmacross Rural,4291
Corracharra,323
Crossalare,827
Donaghmoyne,704
Drumboory,571
Drumcarrow,515
Drumgurra,742
Enagh,819
Inishkeen,1182
Kilmurry,669
Kiltybegs,716
Loughfea,686
Raferagh,447
Annayalla,572
Ballybay Rural,1593
Ballybay Urban,318
Bellatrain,272
Broomfield,831
Carrickaslane,715
Carrickatee,378
Castleblayney Rural,3948
Church Hill,748
Creeve,705
Cremartin,1242
Greagh,481
Laragh,576
Mullyash,380
Aghabog,318
Anny,391
Clones Rural,1612
Cormeen,527
Currin,729
Dawsongrove,752
Drum,190
Drummully,136
Killeevan,330
Killynenagh,219
Lisnaveane,435
Newbliss,918
St. Tierney,390
Anketell Grove,1278
Bellanode,1571
Bragan,318
Caddagh,544
Castleshane,1013
Clones,517
Clontibret,792
Derrygorry,292
Drumhillagh,716
Drumsnat,1069
Emyvale,1158
Enagh,548
Figullar,556
Glaslough,964
Killylough,614
Kilmore,508
Monaghan Rural,6411
Rackwallace,974
Scotstown,1208
Shanmullagh,248
Sheskin,683
