"EDNAME,C,80",2022 Population
Stillorgan-Deerpark,3001
Stillorgan-Kilmacud,4249
Stillorgan-Leopardstown,2973
Stillorgan-Merville,3275
Stillorgan-Mount Merrion,2445
Stillorgan-Priory,2269
Tibradden,945
Athy East Urban,4216
Athy West Urban,3123
Naas Urban,26306
Athy Rural,4548
Ballaghmoon,223
Ballitore,1245
Ballybrackan,660
Ballyshannon,1813
Belan,321
Bert,172
Burtown,421
Carrigeen,644
Castledermot,1853
Churchtown,554
Dunmanoge,461
Fontstown,456
Graney,803
Grangemellon,647
Harristown,479
Inchaquire,230
Johnstown,198
Kilberry,587
Kildangan,736
Kilkea,441
Kilrush,698
Lackagh,841
Monasterevin,5949
Moone,502
Narraghmore,867
Nurney,1196
Quinsborough,166
Skerries,717
Balraheen,2559
Celbridge,16066
Cloncurry,1648
Donadea,857
Donaghcumper,6652
Kilcock,8896
Leixlip,16755
Maynooth,18729
Straffan,2513
Ballynadrumny,580
Cadamstown,1554
Carbury,2345
Carrick,304
Cloncurry,490
Drehid,269
Dunfierth,804
Killinthomas,385
Kilpatrick,918
Kilrainy,773
Lullymore,201
Rathangan,3122
Thomastown,990
Windmill Cross,1225
Ballymore Eustace,1589
Ballysax East,2090
Ballysax West,1233
Bodenstown,5091
Carnalway,2043
Carragh,1854
Clane,8927
Donore,860
Downings,3091
Droichead Nua (Newbridge) Rural,2844
Droichead Nua (Newbridge) Urban,7874
Dunmurry,504
Feighcullen,646
Gilltown,1028
Kilcullen,3695
Kildare,11587
Kill,5565
Killashee,431
Kilmeage North,2707
Kilmeage South,2224
Kilteel,638
Ladytown,990
Morristownbiller,16107
Naas Rural,3351
Newtown,1019
Oldconnell,1043
Oughterard,846
Pollardstown,337
Rathernan,683
Rathmore,1175
Robertstown,2344
Timahoe North,1254
Timahoe South,830
Usk,566
Kilkenny No. 1 Urban,5650
Kilkenny No. 2 Urban,4118
Burnchurch,617
Callan Rural,1932
Callan Urban,1969
Coolaghmore,467
Dunamaggan,460
Earlstown,235
Kells,681
Killamery,237
Kilmaganny,707
Kilmanagh,560
Mallardstown,217
Scotsborough,174
Tullaghanbrogue,546
Boolyglass,155
Fiddown,1075
Muckalee,169
Pilltown,2002
Templeorum,468
Tubbrid,475
Tullahought,250
Whitechurch,453
Attanagh,404
Ballyragget,1587
Castlecomer,2397
Clogh,1288
Clogharinka,264
Kilmacar,471
Moneenroe,1311
Mothell,499
Muckalee,625
Brownsford,148
Dysartmoon,265
Jerpoint West,286
Listerlin,428
Rosbercon Rural,704
Shanbogh,501
The Rower,865
Ballinamara,390
Ballybeagh,327
Ballycallan,461
Clara,756
Coolcraheen,532
Dunbell,525
Dunmore,675
Freshford,989
Gowran,1556
Grange,903
Kilkenny Rural,18603
Kilkieran,709
Odagh,486
Outrath,768
Paulstown,1063
Rathcoole,558
Rathealy,211
St. Canice,607
Shankill,929
Tiscoffin,519
Tullaroan,322
Aghaviller,477
Ballyhale,428
Ballyvool,221
Bennettsbridge,1163
Bramblestown,291
Castlebanny,156
Castlegannon,160
Coolhill,280
Danesfort,464
Ennisnag,530
Famma,341
Freaghana,267
Goresbridge,541
Graiguenamanagh,1860
Inistioge,849
Jerpoint Church,955
Kilfane,288
Kilkeasy,399
Kiltorcan,188
Knocktopher,543
Pleberstown,202
Powerstown,524
Stonyford,721
Thomastown,2342
Tullaherin,230
Ullard,307
Woolengrange,366
Balleen,517
Ballyconra,239
Baunmore,122
Clomantagh,347
Galmoy,361
Glashare,311
Johnstown,877
Lisdowney,287
Rathbeagh,287
Tubbridbrittain,307
Urlingford,1453
Aglish,975
Ballincrea,348
Dunkitt,1001
Farnoge,336
Kilbeacon,214
Kilbride,401
Kilcolumb,621
Kilculliheen,5766
Killahy,703
Kilmakevoge,427
Pollrone,1501
Portnascully,1137
Rathpatrick,1121
Rossinan,801
Ullid,1058
Abbeyleix,2979
Aghmacart,377
Ballinakill,838
Ballyroan,1193
Blandsfort,338
Caher,108
Castletown,835
Clash,372
Clonkeen,693
Colt,180
Cuffsborough,360
Cullahill,362
Cullenagh,151
Donaghmore,273
Donore,486
Dunmore,284
Durrow,1383
Dysartgallen,275
Fossy,183
Grantstown,388
Kilcoke,141
Kildellig,297
Killermogh,358
Kilnaseer,325
Raheen,495
Rathdowney,1317
Timahoe,664
Ballyadams,437
Ballylynan,1527
Barrowhouse,518
Curraclone,269
Killabban,456
Luggacurren,329
Moyanna,410
Rathaspick,287
Stradbally,1912
Tankardstown,405
Timogue,366
Vicarstown,192
Arderin,292
Ballybrittas,1520
Ballycarroll,398
Ballyfin,711
Borris,1797
Brisha/Capard,328
Cappalough,361
Cardtown,169
Castlecuffe,423
Clonaslee,954
Clondarrig,2753
Clonin,243
Coolrain,328
Dangans,1524
Emo,1338
Garrymore,264
Graigue,264
Jamestown,532
Kilcolmanbane,627
Kilmullen,599
Kilmurry,305
Lacka,309
Marymount,148
Meelick,420
Mountmellick Rural,1090
Mountmellick Urban,3172
Mountrath,2681
Nealstown,91
O'More's Forest,513
Portarlington South,7859
Portlaoighise (Maryborough) Rural,17352
Portlaoighise (Maryborough) Urban,3931
Rearymore,307
Rosenallis,442
Sallyford,604
Shaen,1001
Tinnahinch,175
Trumra,284
Ballybrophy,223
Borris-in-Ossory,1012
Clonmore,215
Errill,429
Kyle,224
Kyle South,296
Moneenalassa,149
Moneymore,141
Rathsaran,604
Ardough,369
Arless,408
Ballickmoyler,848
Ballylehane,203
Doonane,844
Farnans,208
Graigue Rural,5330
Newtown,330
Rossmore,464
Shrule,316
Turra,392
Longford No. 1 Urban,4043
Longford No. 2 Urban,1120
Agharra,480
Ballymahon,2970
Cashel East,278
Cashel West,651
Doory,416
Forgney,3066
Foxhall,611
Kilcommock,1161
Kilglass,730
Ledwithstown,379
Abbeylara,351
Ballinalee,648
Ballymuigh,237
Bunlahy,225
Columbkille,585
Coolamber,397
Creevy,326
Crosagstown,260
Currygrane,145
Dalystown,188
Drummeel,129
Firry/Newgrove,200
Gelshagh,366
Granard Rural,307
Granard Urban,1268
Knockanbaun,188
Lislea,140
Meathas Truim,2477
Milltown,367
Moatfarrell,210
Moyne,307
Mullanalaghta,320
Sonnagh,266
Aghaboy,687
Ardagh East,730
Ardagh West,509
Ballinamuck East,622
Ballinamuck West,530
Breanrisk,901
Caldragh,2690
Cloondara,718
Cloonee,767
Corboy,420
Drumgort,488
Drumlish,1682
Killashee,487
Killoe,298
Longford Rural,5685
Mountdavis,238
Moydow,802
Newtown Forbes,985
Rathcline,1700
Fair Gate,11007
St. Laurence Gate,4227
West Gate,6549
Dundalk Urban No. 1,2380
Dundalk Urban No. 2,1258
Dundalk Urban No. 3,1712
Dundalk Urban No. 4,6702
Ardee Rural,3009
Ardee Urban,5478
Castlebellingham,1882
Clonkeen,711
Collon,1860
Dromin,679
Dromiskin,2364
Drumcar,1415
Dunleer,3270
Stabannan,677
Tallanstown,1069
Ballymascanlan,2272
Barronstown,752
Carlingford,2220
Castlering,1092
Castletown,4381
Creggan Upper,875
Darver,643
Drummullagh,1505
Dundalk Rural,21293
Faughart,1065
Greenore,1250
Haggardstown,9301
Jenkinstown,1321
Killanny,922
Louth,1635
Mansfieldstown,880
Rathcor,1484
Ravensdale,1060
Clogher,3446
Dysart,1034
Monasterboice,1445
Mullary,1870
St. Peter's,10951
Termonfeckin,4003
St. Mary's,6754
Ceannanus Mær (Kells) Urban,2219
Navan Urban,3814
Trim Urban,1383
Drumcondra,1376
Grangegeeth,695
Killary,1291
Culmullin,1283
Donaghmore,14217
Dunboyne,10698
Dunshaughlin,8517
Kilbrew,4064
Killeen,1283
Kilmessan,1879
Kilmore,1907
Rathfeigh,1106
Ratoath,11894
Rodanstown,1865
Skreen,1673
Ardagh,682
Ballinlough,220
Balrathboyne,643
Boherboy,324
Burry,281
Carrickleck,457
Castlekeeran,513
Ceannanus Mær (Kells) Rural,4980
Cruicetown,417
Girley,458
Kilmainham,857
Kilskeer,444
Loughan,471
Maperath,495
Martry,792
Moybolgue,276
Moynalty,650
Newcastle,447
Newtown,1032
Nobber,822
Posseckstown,193
Staholmog,427
Teltown,982
Trohanny,344
Ardcath,2119
Duleek,6250
Julianstown,11501
Mellifont,573
St. Mary's,16403
Stamullin,5471
Ardbraccan,2363
Ardmulchan,1137
Bective,1177
Castletown,1034
Donaghpatrick,2004
Kentstown,2263
Navan Rural,31940
Painestown,1260
Rathkenny,699
Slane,1936
Stackallan,751
Tara,1466
Crossakeel,590
Crosskeys,377
Killallon,315
Killeagh,420
Knocklough,211
Moylagh,423
Oldcastle,2333
Stonefield,241
Ardnamullan,877
Athboy,2771
Ballyboggan,567
Ballyconnell,810
Castlejordan,440
Castlerickard,2247
Cloghbrack,552
Clonmacduff,516
Gallow,1065
Galtrim,791
Grennanstown,1260
Hill of Down,583
Innfield,4858
Kilbride,576
Kilcooly,408
Kildalky,1363
Killaconnigan,2297
Killyon,595
Laracor,696
Rahinstown,517
Rathmolyon,1660
Rathmore,1095
Summerhill,1453
Trim Rural,9201
Birr Urban,4726
Tullamore Urban,11957
Ballycumber,741
Banagher,2215
Birr Rural,1300
Broughal,121
Cloghan,1044
Clonmacnoise,345
Derrinboy,334
Derryad,276
Doon,543
Dromoyle,361
Drumcullen,454
Eglish,153
Ferbane,1281
Gallen,588
Hinds,369
Huntston,393
Kilcolman,398
Kilcormac,1486
